source,year,title,doi
Europe PMC,2024,Efficacy of a Serotonin-Norepinephrine Reuptake Inhibitor as a Treatment for Meniere Disease: A Randomized Clinical Trial.,10.1001/jamaoto.2024.2241
Europe PMC,2015,Telephone-Delivered Cognitive Behavioral Therapy and Telephone-Delivered Nondirective Supportive Therapy for Rural Older Adults With Generalized Anxiety Disorder: A Randomized Clinical Trial.,10.1001/jamapsychiatry.2015.1154
OpenAlex,2020,"Level of plasma tau and depression, anxiety and worry in cognitively normal older adults",10.1002/alz.039495
OpenAlex,2020,The Digital Choice Anxiety Survey (DCAS): Initial development and validation,10.1002/alz.044177
OpenAlex,2020,Severity of subjective cognitive complaints and worries in older adults are associated with cerebral amyloid‐β load,10.1002/alz.046098
OpenAlex,2023,Associations between ruminative brooding and white matter change amongst healthy middle‐aged and older adults,10.1002/alz.078705
OpenAlex,2024,Influence of tau pathology and anxiety and depressive symptoms on metamemory in cognitively normal older adults,10.1002/alz.087366
OpenAlex,2024,Worry differentially affects the impact of placental growth factor on processing speed in older adults with amnestic Mild Cognitive Impairment,10.1002/alz.089876
OpenAlex,2024,Association between Stress and White Matter Hyperintensity Volume in Diverse Populations: A HABS‐HD Study,10.1002/alz.093446
OpenAlex,2024,Influence of tau pathology and anxiety and depressive symptoms on metamemory in cognitively normal older adults,10.1002/alz.093725
OpenAlex,2025,Association between False Positive Misclassification and Modifiable Factors in Alzheimer's Disease Prediction Models among a Diverse Community Based Cohort,10.1002/alz70856_098395
OpenAlex,2025,Affective Fluctuations in Depressive and Anxiety Symptomatology Predict Cognitive Performance Decline in Older Adults,10.1002/alz70857_101303
OpenAlex,2025,Understanding Social Determinants of Health and Cognitive Impairment Risk in Diverse Populations Using Machine Learning: A HABS‐HD Study,10.1002/alz70860_102363
OpenAlex,2025,Peripheral Biomarkers of Lipid Dysregulation and Inflammation in Anxiety‐Related Risk for Alzheimer’s Disease and Related Dementias,10.1002/alz70861_108071
Europe PMC,2018,Worry is associated with inefficient functional activity and connectivity in prefrontal and cingulate cortices during emotional interference.,10.1002/brb3.1137
Europe PMC,2021,Effects of the COVID-19 pandemic in a preexisting longitudinal study of patients with recently diagnosed bipolar disorder: Indications for increases in manic symptoms.,10.1002/brb3.2326
Europe PMC,2015,Coping strategies in a sample of anxiety patients: factorial analysis and associations with psychopathology.,10.1002/brb3.351
Europe PMC,2025,"Prediction of Sleep Quality in Cancer Survivors Based on Arousal, Pain, and Worry: The Mediating Role of Dysfunctional Beliefs and Attitudes About Sleep.",10.1002/cam4.70773
OpenAlex,2019,The FRIENDS Programme:an evaluation of academic and emotional health outcomes,10.1002/central/cn-01797026/full
Europe PMC,2020,Characterizing the nature of worry in a sample of perinatal women with generalized anxiety disorder.,10.1002/cpp.2413
Europe PMC,2023,Early emotional memories and bonding as predictors of short-term and long-term outcome in adults with generalized anxiety disorder.,10.1002/cpp.2804
Europe PMC,2024,"The Relationship of Rumination, Worry and OCD Symptoms During Technology Supported Mindfulness Therapy for OCD.",10.1002/cpp.3018
Europe PMC,2011,Preliminary validation of an ultra-brief version of the Penn State Worry Questionnaire.,10.1002/cpp.724
Europe PMC,2012,"Avoidance, safety behavior, and reassurance seeking in generalized anxiety disorder.",10.1002/da.21955
Europe PMC,2013,Mindfulness and emotion regulation in depression and anxiety: common and distinct mechanisms of action.,10.1002/da.22124
Europe PMC,2013,Factors impacting decisions to decline or adhere to antidepressant medication in perinatal women with mood and anxiety disorders.,10.1002/da.22137
Europe PMC,2014,Effectiveness of cognitive behavioral therapy for insomnia: influence of slight-to-moderate depressive symptom severity and worrying.,10.1002/da.22258
Europe PMC,2019,Comorbid anxiety in late-life depression: Relationship with remission and suicidal ideation on venlafaxine treatment.,10.1002/da.22964
Europe PMC,2020,Efficacy of an acceptance-based group behavioral therapy for generalized anxiety disorder.,10.1002/da.23021
Europe PMC,2020,Comparison of cognitive-behavioral therapy and yoga for the treatment of late-life worry: A randomized preference trial.,10.1002/da.23107
Europe PMC,2015,An exploration of worry content and catastrophic thinking in middle-aged and older-aged adults with and without Parkinson's disease.,10.1002/gps.4146
Europe PMC,2019,Positive and negative religious coping as predictors of distress among minority older adults.,10.1002/gps.4983
Europe PMC,2010,A multifaith spiritually based intervention for generalized anxiety disorder: a pilot randomized trial.,10.1002/jclp.20663
Europe PMC,2023,Faculty caring behavior and effect on dental hygiene students' worry or anxiety.,10.1002/jdd.13115
OpenAlex,2020,"Impact of Worry on Career Thoughts, Career Decision State, and Cognitive Information Processing Skills",10.1002/joec.12152
Europe PMC,2022,Psychological factors associated with clinical fear of cancer recurrence in breast cancer patients in the early survivorship period.,10.1002/pon.5976
Europe PMC,2023,The Perceived Stress Scale for Kids (PeSSKi): Initial development of a brief measure for children aged 7-11 years.,10.1002/smi.3174
Europe PMC,2025,Predictive value and weight of factors associated with cognitive performance in Hispanics/Latinos enrolled in the Health and Aging Brain Study: Health Disparities.,10.1002/trc2.70060
Europe PMC,2023,Psychological impact of simple scoring system for predicting early pregnancy outcome in pregnancy of uncertain viability: randomized controlled trial.,10.1002/uog.26144
OpenAlex,2023,Mindfulness and Compassion as a Path to Recovery and Personal Discovery: A First-Episode Schizophrenia Case Study,10.1007/978-3-031-27003-1_25
Europe PMC,2014,[Depression and anxiety disorders among psoriasis patients: protective and exacerbating factors].,10.1007/s00105-014-3513-9
Europe PMC,2016,Role of worry in patients with chronic tinnitus and sensorineural hearing loss: a preliminary study.,10.1007/s00405-016-4100-8
Europe PMC,2017,Vestibular migraine patients are more anxious than migraine patients without vestibular symptoms.,10.1007/s00415-017-8439-6
Europe PMC,2016,Associations between caregiving worries and psychophysical well-being. An investigation on home-cared cancer patients family caregivers.,10.1007/s00520-015-2854-y
Europe PMC,2023,Do cancer curvivors and metavivors have distinct needs for stress management intervention? Retrospective analysis of a mind-body survivorship program.,10.1007/s00520-023-08062-1
Europe PMC,2020,An investigation of genetic variability of DNA methyltransferases DNMT3A and 3B does not provide evidence for a major role in the pathogenesis of panic disorder and dimensional anxiety phenotypes.,10.1007/s00702-020-02206-x
Europe PMC,2011,Anxiety disorders in headache patients in a specialised clinic: prevalence and symptoms in comparison to patients in a general neurological clinic.,10.1007/s10194-011-0293-9
Europe PMC,2025,Effects of A Brief Resonance Frequency Breathing Exercise on Heart Rate Variability and Inhibitory Control in the Context of Generalised Anxiety Disorder.,10.1007/s10484-025-09687-0
Europe PMC,2017,"The Penn State Worry Questionnaire for Children: Age, Gender and Clinical Invariance.",10.1007/s10578-016-0663-2
Europe PMC,2026,Using Item Response Theory to Develop a Shortened Version of the Penn State Worry Questionnaire for Children.,10.1007/s10578-024-01774-3
OpenAlex,2010,Impulsivity and Intrusive Thoughts: Related Manifestations of Self-Control Difficulties?,10.1007/s10608-010-9317-z
OpenAlex,2010,"Worry, Anhedonic Depression, and Emotional Styles",10.1007/s10608-010-9329-8
OpenAlex,2012,Sudden Gains in the Cognitive-Behavioral Treatment of Generalized Anxiety Disorder,10.1007/s10608-012-9504-1
OpenAlex,2019,A Brief Worry Reappraisal Paradigm (REAP) Increases Coping with Worries,10.1007/s10608-019-10053-8
Europe PMC,2022,What's Worrying Our Students? Increasing Worry Levels over Two Decades and a New Measure of Student Worry Frequency and Domains.,10.1007/s10608-021-10270-0
Europe PMC,2025,Examining Cross-Cultural Invariance of Common Mental Disorder Symptom Measures in the United States and Singapore.,10.1007/s10608-024-10519-4
OpenAlex,2025,Tolerating Uncertainty: Short- and Long-Term Effects of Sudden Gains in Behavioral Experiments for Generalized Anxiety Disorder,10.1007/s10608-025-10598-x
OpenAlex,2025,Face-to-Face Versus Web-Based EMDR Therapy in the Treatment of Generalized Anxiety Disorder Symptoms: A Randomized Controlled Trial,10.1007/s10608-025-10641-x
Europe PMC,2020,Structure and Psychometric Properties of the Penn State Worry Questionnaire for Children in Chinese Adolescents.,10.1007/s10802-020-00680-1
OpenAlex,2013,Searching for Danger: On the Link Between Worry and Threat-Related Confirmation Bias in Children,10.1007/s10826-013-9727-0
OpenAlex,2019,Muscle Dysmorphia in Adolescence: The Role of Parental Psychological Control on a Potential Behavioral Addiction,10.1007/s10826-019-01547-w
Semantic Scholar,2010,Yale-Brown Obsessive Compulsive Scale: Psychometric Properties of the Self-Report Version in a Student Sample,10.1007/s10862-009-9146-0
OpenAlex,2011,Erratum to: The Nature of Generalized Anxiety in Older Primary Care Patients: Preliminary Findings,10.1007/s10862-011-9221-1
OpenAlex,2011,The Penn State Worry Questionnaire—Past Day: Development and Validation of a Measure Assessing Daily Levels of Worry,10.1007/s10862-011-9265-2
OpenAlex,2012,Penn State Worry Questionnaire: Findings Form Normative and Clinical Samples in Denmark,10.1007/s10862-012-9320-7
OpenAlex,2023,Psychometric Properties of the Penn State Worry Questionnaire-Past Week (PSWQ-PW) in an Anxiety and Related Disorders Sample,10.1007/s10862-023-10029-9
OpenAlex,2024,Item Retention as a Feature Selection Task: Developing Abbreviated Measures Using Shapley Values,10.1007/s10862-024-10120-9
OpenAlex,2025,A Comparison of the Long and Short Forms of the Penn State Worry Questionnaire in Adults with Generalised Anxiety Disorder,10.1007/s10862-025-10200-4
Europe PMC,2021,Worry and rumination in breast cancer patients: perseveration worsens self-rated health.,10.1007/s10865-020-00192-9
Europe PMC,2019,"Psychological Distress, Alexithymia and Alcohol Misuse in Patients with Psoriasis: A Cross-Sectional Study.",10.1007/s10880-018-9580-9
Europe PMC,2020,Are Morbid Obesity and Insomnia Related? Investigating Associated Factors in a Clinical Setting.,10.1007/s10880-019-09635-1
OpenAlex,2014,Negative Recurrent Thinking as a Moderator of the Relationship Between Perceived Stress and Depressive Symptoms,10.1007/s10942-014-0192-5
OpenAlex,2021,The Relationship of Metacognition with Worry: The Mediating Role of Emotional Flexibility and Affective Style,10.1007/s10942-021-00422-2
OpenAlex,2026,"The Relationship Between Metacognitive Beliefs, Emotion Recognition, Interpersonal Emotion Regulation, and Attachment Styles in Patients with Anxiety Disorders",10.1007/s10942-026-00680-y
Europe PMC,2025,Is Religiosity a Protective or a Risk Factor Against Worry in Polish Adolescents?: The Mediating Role of the Religious Coping Strategies.,10.1007/s10943-025-02382-8
OpenAlex,2023,Mothers’ and Fathers’ Coping and Psychological Outcomes Post Neonatal Intensive Care Unit (NICU) Discharge: The Role of Religious and Spiritual Coping,10.1007/s11089-023-01098-4
Europe PMC,2015,Venlafaxine versus applied relaxation for generalized anxiety disorder: a randomized controlled study on clinical and electrophysiological outcomes.,10.1007/s11126-014-9334-2
Europe PMC,2013,Factor analytic and item response theory evaluation of the Penn State Worry Questionnaire in women with cancer.,10.1007/s11136-012-0253-0
Europe PMC,2025,"Managing, not lessening, uncertainty: a novel mind-body intervention for fear of cancer recurrence.",10.1007/s11764-025-01886-2
Europe PMC,2021,Evaluation of worry level in healthcare professionals and mental symptoms encountered in their children during the COVID-19 pandemic process.,10.1007/s12144-021-02142-3
OpenAlex,2023,Metanalysis of the efficacy of metacognitive therapy and acceptance and commitment therapy on cognitive intrusion,10.1007/s12144-023-05001-5
Europe PMC,2017,High-Frequency Heart Rate Variability Reactivity and Trait Worry Interact to Predict the Development of Sleep Disturbances in Response to a Naturalistic Stressor.,10.1007/s12160-017-9915-z
OpenAlex,2023,Veranderingen in levenstevredenheid bij koppels na geslaagde in-vitrofertilisatie en een natuurlijke zwangerschap,10.1007/s12440-023-00198-0
OpenAlex,2011,The Relation Between the Five Facets of Mindfulness and Worry in a Non-clinical Sample,10.1007/s12671-011-0075-0
OpenAlex,2012,Mindfulness-Based Cognitive Therapy for Mental Health Professionals—a Pilot Study,10.1007/s12671-012-0127-0
OpenAlex,2021,Mindfulness-Based Cognitive Therapy vs. Psycho-education for Patients with Anxiety Disorders Who Did Not Achieve Remission Following Adequate Pharmacological Treatment,10.1007/s12671-021-01664-y
Europe PMC,2017,Risk and Resilience Factors Associated with Resident Burnout.,10.1007/s40596-016-0628-6
OpenAlex,2022,Worry in Adolescents: the Role of Metacognitive Beliefs and Thought Control Strategies,10.1007/s43076-022-00233-z
OpenAlex,2026,An explainable AI framework for early mental health screening and clinical decision support using reflective listening and generative AI,10.1007/s44202-026-00877-3
Europe PMC,2024,Parental care and overprotection predict worry and anxiety symptoms in emerging adult students.,10.1016/j.actpsy.2024.104398
Europe PMC,2023,Problematic social media use is associated with depression and similar to behavioral addictions: Physiological and behavioral evidence.,10.1016/j.addbeh.2023.107781
Europe PMC,2018,Emotional and cognitive correlates of hating among adolescents: An exploratory study.,10.1016/j.adolescence.2018.08.002
Europe PMC,2014,A study of worry and functional somatic symptoms in generalized anxiety disorder.,10.1016/j.ajp.2014.05.011
OpenAlex,2020,Trouble anxiété généralisée chez une patiente atteinte de sclérose en plaques : prise en charge par thérapie cognitivo-comportementale et émotionnelle,10.1016/j.amp.2018.11.010
OpenAlex,2021,"Événements traumatogènes, âge de survenue, symptômes anxio-dépressifs et comportements addictifs dans un échantillon de jeunes adultes recruté en ligne",10.1016/j.amp.2020.12.002
OpenAlex,2022,"Worry, anger rumination, ego-strength and adjustment to heart disease",10.1016/j.amp.2022.05.003
OpenAlex,2023,Effets de la thérapie d’Intégration du Cycle de Vie sur l’anxiété et la régulation émotionnelle : premiers éléments d’évaluation à partir d’une étude de cas pragmatique,10.1016/j.amp.2023.04.006
OpenAlex,2024,"Online, group, low-intensity psychological intervention for adults, children, and parents with food allergy",10.1016/j.anai.2024.07.025
OpenAlex,2014,76. The influence of running volume on CD4+ T cell subpopulations and the role of stress,10.1016/j.bbi.2014.06.096
Europe PMC,2021,Basal and LPS-stimulated inflammatory markers and the course of anxiety symptoms.,10.1016/j.bbi.2021.09.001
Europe PMC,2017,Internet-Based Extinction Therapy for Worry: A Randomized Controlled Trial.,10.1016/j.beth.2016.07.003
Europe PMC,2025,An Internet-Delivered Rumination-Focused CBT Intervention for Adults With Depression and Anxiety: A Randomized Controlled Trial.,10.1016/j.beth.2024.12.004
Europe PMC,2014,Proneness to worry is negatively associated with blood pressure and baroreflex sensitivity: further evidence of the blood pressure emotional dampening hypothesis.,10.1016/j.biopsycho.2013.11.005
Europe PMC,2010,Treating chronic worry: Psychological and physiological effects of a training programme based on mindfulness.,10.1016/j.brat.2010.05.012
Europe PMC,2010,Transdiagnostic Internet treatment for anxiety disorders: A randomized controlled trial.,10.1016/j.brat.2010.05.014
Europe PMC,2014,Repetitive negative thinking as a transdiagnostic factor in depression and anxiety: A conceptual replication.,10.1016/j.brat.2014.06.004
Europe PMC,2016,Reductions in experiential avoidance as a mediator of change in symptom outcome and quality of life in acceptance-based behavior therapy and applied relaxation for generalized anxiety disorder.,10.1016/j.brat.2016.09.012
Europe PMC,2019,Transcutaneous vagus nerve stimulation does not affect attention to fearful faces in high worriers.,10.1016/j.brat.2018.12.009
Europe PMC,2021,Pilot randomized trial of self-guided virtual reality exposure therapy for social anxiety disorder.,10.1016/j.brat.2021.103984
OpenAlex,2014,Key Points in Managing Late-Life Anxiety,10.1016/j.carage.2014.09.002
OpenAlex,2019,Intolerance of Uncertainty–Focused Treatment for Adolescents With Excessive Worry: A Pilot Feasibility Study,10.1016/j.cbpra.2019.06.002
Europe PMC,2013,A meta-analysis of cognitive therapy for worry in generalized anxiety disorder.,10.1016/j.cpr.2012.10.008
Europe PMC,2019,Detection of anxiety symptoms in persons with dementia: A systematic review.,10.1016/j.dadm.2019.02.005
OpenAlex,2024,Psychopathology and coping strategies in MASLD-related compensated advanced chronic liver disease,10.1016/j.dld.2024.01.090
OpenAlex,2026,Psychological vulnerability is associated with compensated advanced chronic liver disease (cACLD) in patients with metabolic dysfunction–associated steatotic liver disease (MASLD): a Case Control study,10.1016/j.dld.2026.07.066
OpenAlex,2013,Surfez sur la douleur chronique avec la thérapie d’acceptation et d’engagement (ACT) !,10.1016/j.douler.2013.07.006
Europe PMC,2015,Confirmatory factor analysis and psychometric properties of the Yale-Brown-Cornell Eating Disorders Scale Self-Report version (SR-YBC-EDS) in Spanish clinical and non-clinical samples.,10.1016/j.eatbeh.2014.12.005
Europe PMC,2016,Parental quality of life in complex paediatric neurologic disorders of unknown aetiology.,10.1016/j.ejpn.2016.05.007
Europe PMC,2023,"Worse psychological traits associated with higher probability of emotional problems during the Omicron pandemic in Tianjin, China.",10.1016/j.ejpsy.2022.09.002
Europe PMC,2013,[Adjustment disorders with anxiety. Clinical and psychometric characteristics in patients consulting a general practitioner].,10.1016/j.encep.2012.10.004
Europe PMC,2014,[An integrative and transdiagnostic relaxation protocol for anxious patients. Results of a pilot study].,10.1016/j.encep.2014.07.001
OpenAlex,2021,Fear of cancer recurrence and quality of life among gynaecological cancer survivors under treatment,10.1016/j.enfcli.2020.09.015
Europe PMC,2014,"The impact of intolerance of uncertainty, worry and irritability on quality of life in persons with epilepsy: irritability as mediator.",10.1016/j.eplepsyres.2014.07.002
OpenAlex,2021,"Verbal and practical intelligence in general anxiety, obsessive compulsive and major depression disorders",10.1016/j.erap.2021.100630
Europe PMC,2022,Regulation strategies during COVID-19 quarantine: The mediating effect of worry on the links between coping strategies and anxiety.,10.1016/j.erap.2021.100671
OpenAlex,2025,W6. ALLELIC VARIATION IN NTRK2 PREDISPOSES TO GENERALIZED ANXIETY AND PASSIVE AVOIDANCE BEHAVIOR,10.1016/j.euroneuro.2025.08.372
OpenAlex,2014,Métacognition et dépression : validation d’une version française du MCQ-30 en population clinique,10.1016/j.eurpsy.2014.09.251
OpenAlex,2016,A research on anxiety disorder prevalence and severity among vestibuler migraine and migraine patients,10.1016/j.eurpsy.2016.01.1117
OpenAlex,2017,Assessment of test anxiety in Portuguese adolescents: Psychometric properties of the Cognitive Test Anxiety Revised,10.1016/j.eurpsy.2017.01.424
OpenAlex,2017,"Cross-cultural adaptation, reliability, and validity of the revised Korean version of Ruminative Response Scale",10.1016/j.eurpsy.2017.01.720
Europe PMC,2014,"Prediction of insomnia severity based on cognitive, metacognitive, and emotional variables in college students.",10.1016/j.explore.2014.04.005
OpenAlex,2014,Naturopathic Medicine,10.1016/j.explore.2014.05.003
Europe PMC,2014,Comorbidity of fear of progression and anxiety disorders in cancer patients.,10.1016/j.genhosppsych.2014.08.006
Europe PMC,2019,Physical activity correlates among older adults with probable generalized anxiety disorder: Results from The Irish Longitudinal Study on Ageing.,10.1016/j.genhosppsych.2019.04.012
Europe PMC,2025,The prospective relationship between dispositional mindfulness and health complaints in cardiac patients recovering from revascularization.,10.1016/j.genhosppsych.2025.11.006
Europe PMC,2023,"Stress, anxiety, and illness perception in patients experiencing delay in operative care due to the COVID-19 pandemic.",10.1016/j.gore.2023.101245
